documento,tipo_doc,RUC,CEDULA,EMAIL,TELEFONO,DIRECCION,NOMBRE,total_vp,timestamp
CTDG-2024-GE-0032,informe,0,1,1,0,1,9,12,2026-02-27 18:13:38
CTDG-2024-GE-0048,informe,1,0,1,0,1,11,14,2026-02-27 18:14:19
CTDG-2024-GE-0051,informe,1,0,2,0,0,12,15,2026-02-27 18:15:40
CTDG-2025-GE-0335,informe,0,1,1,0,1,8,11,2026-02-27 18:17:03
CTDG-2025-GE-0589,informe,1,0,1,0,1,8,11,2026-02-27 18:17:53
CTDG-2025-GE-0592,informe,0,1,1,0,1,9,12,2026-02-27 18:18:35
CTDG-2025-GE-0607,informe,1,0,1,0,1,8,11,2026-02-27 18:19:16
CTDG-2025-GE-0691,informe,1,0,1,0,1,9,12,2026-02-27 18:19:52
CTDG-GE-2021-0192,informe,1,1,1,1,1,6,11,2026-02-27 18:20:52
CTDG-GE-2021-0303,informe,1,0,1,0,1,1,4,2026-02-27 18:22:13
CTDG-GE-2021-0307,informe,1,0,1,0,1,1,4,2026-02-27 18:23:05
CTDG-GE-2021-0370,informe,0,1,1,0,1,6,9,2026-02-27 18:23:49
CTDG-GE-2021-0371,informe,0,1,1,0,1,6,9,2026-02-27 18:24:50
CTDG-GE-2022-0169,informe,1,0,1,1,0,7,10,2026-02-27 18:25:41
CTDG-GE-2022-0299,informe,1,0,2,0,1,6,10,2026-02-27 18:27:23
CTDG-GE-2022-0382,informe,0,1,2,0,1,6,10,2026-02-27 18:28:41
CTDG-GE-2022-0392,informe,0,1,2,0,1,6,10,2026-02-27 18:29:37
CTDG-GE-2022-0435,informe,0,1,2,0,1,5,9,2026-02-27 18:30:34
CTDG-GE-2022-0449,informe,1,0,1,0,1,8,11,2026-02-27 18:31:11
CTDG-GE-2022-0456,informe,1,0,2,0,1,5,9,2026-02-27 18:31:58
CTDG-GE-2022-0461,informe,1,0,1,0,1,7,10,2026-02-27 18:32:39
CTDG-GE-2022-0473,informe,1,0,1,0,1,6,9,2026-02-27 18:33:14
CTDG-GE-2022-0480,informe,0,1,1,0,1,6,9,2026-02-27 18:35:24
CTDG-GE-2022-0483,informe,1,0,2,0,1,5,9,2026-02-27 18:36:31
